35650               ,FORKLIFT PSN WAREHOUSE                  
560BC03          ,"CONV, BELT CLINKER , GYPSUM , L/STONE   "
560BF01          ,"FILTER, BAG CLINKER                     "
560BF02          ,"FILTER, BAG CLINKER                     "
560BF03          ,"FILTER, BAG FLY ASH                     "
560BI01          ,"BIN, STORAGE FLYASH BIN                 "
560BI02          ,"BIN, STORAGE LIMESTONE BIN              "
560BI03          ,"BIN, STORAGE GYPSUM BIN                 "
560BI04          ,"BIN, STORAGE CLINKER BIN                "
560BL01          ,"BLOWER, AERATION FOR AIRSLIDE 560AS01   "
560BL02          ,"BLOWER, AERATION FOR AIRSLIDE 560AS02   "
560BL03          ,"BLOWER, AERATION FOR AIRSLIDE 560AS03   "
560CA01          ,"HOIST, ELECTRIC FOR MILL 4              "
560FN01          ,"FAN, EXHAUST FOR BAG FILTER             "
560FN02          ,"FAN, EXHAUST FOR BAG FILTER 560BF02     "
560FN03          ,"FAN, EXHAUST FOR BAG FILTER 560BF03     "
560PG01          ,GATE DIVIDING GATE TO BIN               
560RF01          ,"FEEDER, ROTARY FOR BAG FILTER 560BF01   "
560RF02          ,"FEEDER, ROTARY FOR BAG FILTER 560BF02   "
560RF03          ,"FEEDER, ROTARY FOR BAG FILTER 560BF03   "
560SC01          ,"CONVEYOR, SCREW FOR 560BF01             "
560WF01          ,"FEEDER, WEIGHT FOR FLYASH BIN           "
560WF02          ,"FEEDER, WEIGHT FOR LIMESTONE BIN        "
560WF03          ,"FEEDER, WEIGHT FOR GYPSUM BIN           "
560WF04          ,"FEEDER, WEIGHT FOR CLINKER BIN          "
561,CEMENT MILL 4 GRINDING GROUP            
561BC01          ,"CONVEYOR, BELT FROM 561BE01             "
561BC02          ,"CONVEYOR, BELT FROM REJECT BIN 561BI01  "
561BC03          ,"CONVEYOR, BELT FROM 561BC02 & MILL      "
561BC04          ,"CONVEYOR, BELT FROM 561BC03             "
561BE01          ,"ELEVATOR, BUCKET FEED TO MILL           "
561BF02          ,"FILTER, BAG BAG HOUSE                   "
561BI01          ,"BIN, STORAGE REJECT BIN                 "
561BU01          ,BURNER HOT GAS BURNER CHAMBER           
561CH01          ,"PUMP, CHEMICAL DOSING CEMENT MILL 4     "
561CLA01         ,SEPARATOR MILL AIR SEPARATOR 561CLA01   
561CP01          ,"COMPRESSOR, AIR UTILITY COMPRESSOR      "
561CP02          ,"COMPRESSOR, AIR UTILITY COMPRESSOR      "
561DA01          ,DAMPER FOR BOOSTER FAN 561FN01          
561DA02          ,DAMPER BAG HOUSE FAN DAMPER             
561DA03          ,DAMPER RECIRCULATION                    
561DA04          ,DAMPER HOT GAS SHUT OFF GATE            
561DA05          ,DAMPER FRESH AIR DAMPER                 
561DA06          ,DAMPER FOR DILUTE BLOWER                
561DY01          ,"DRYER , AIR                             "
561DY02          ,"DRYER , AIR                             "
561FN01          ,"FAN, BOOSTER FOR HOT GAS                "
561FN02          ,"FAN, EXHAUST FOR BAG HOUSE 561BF02      "
561FN04          ,"FAN,SEALING MILL SEALING AIR FAN        "
561FN06          ,"BLOWER, DILUTE FOR HOT GAS BURNER       "
561MS01          ,"SEPARATOR, MAGNETIC ON BELT 561BC01     "
561MT01          ,"DETECTOR, METAL ON BELT 561BC01         "
561MT02          ,"DETECTOR, METAL ON BELT 561BC02         "
561PG01          ,GATE DIVIDING GATE TO REJECT BIN & MILL 
561PG02          ,DIVIDING GATE TO METAL BIN & 561BC03    
561RF01          ,"FEEDER, ROTARY FOR VERTICAL MILL        "
561RF02          ,"FEEDER, ROTARY BAG HOUSE ROTARY FEEDER  "
561RF03          ,"FEEDER, ROTARY BAG HOUSE ROTARY FEEDER  "
561RF04          ,"FEEDER, ROTARY BAG HOUSE ROTARY FEEDER  "
561RF05          ,"FEEDER, ROTARY BAG HOUSE ROTARY FEEDER  "
561RF06          ,"FEEDER, ROTARY BAG HOUSE ROTARY FEEDER  "
561RF07          ,"FEEDER, ROTARY BAG HOUSE ROTARY FEEDER  "
561RF08          ,"FEEDER, ROTARY BAG HOUSE ROTARY FEEDER  "
561RF09          ,"FEEDER, ROTARY BAG HOUSE ROTARY FEEDER  "
561RF10          ,"FEEDER, ROTARY BAG HOUSE ROTARY FEEDER  "
561RF11          ,"FEEDER, ROTARY BAG HOUSE ROTARY FEEDER  "
561RL01          ,"MILL, VERTICAL CM 4 VERTICAL MILL       "
561SD01          ,SHUT OFF GATE HOT GAS FROM LINE 1       
561SD02          ,SHUT OFF GATE HOT GAS FROM LINE 2       
561SR01          ,SEPARATOR MILL AIR SEPARATOR 561CLA01   
561TR01          ,"TRAN CM4 DEPT EKARAT,2500KVA, 6.6KV/415V"
561WP01          ,"PUMP, WATER CEMENT MILL 4               "
561WP02          ,"PUMP, WATER CEMENT MILL 4               "
562,CEMENT MILL 4 TRANSPORT GROUP           
562AS01          ,AIR SLIDE FOR BLOWER 562BL01            
562AS02          ,AIR SLIDE FOR BLOWER 562BL02            
562AS03          ,AIR SLIDE FOR BLOWER 562BL03            
562BF01          ,"FILTER, BAG FROM BL1 , BL2, BL3         "
562BF02          ,"FILTER, BAG SILO 2-1 OPC                "
562BF03          ,"FILTER, BAG SILO 2-2 OPC                "
562BF05          ,"FILTER, BAG SILO 1-2 OPC                "
562BF06          ,"FILTER, BAG SILO 3-1 (RAILWAY)          "
562BF07          ,"FILTER, BAG SILO 3-2 (POND)             "
562BL01          ,"BLOWER, AERATION FOR AIRSLIDE 562AS01   "
562BL02          ,"BLOWER, AERATION FOR AIRSLIDE 562AS02   "
562BL03          ,"BLOWER, AERATION FOR AIRSLIDE 562AS03   "
562CP01          ,"COMPRESSOR, AIR BLOW TANK AIR COMPRESSOR"
562CP02          ,"COMPRESSOR, AIR BLOW TANK AIR COMPRESSOR"
562CP03          ,"COMPRESSOR, AIR BLOW TANK AIR COMPRESSOR"
562DY01          ,"DRYER , AIR                             "
562FN01          ,"FAN, EXHAUST FOR BAG FILTER 562BF01     "
562FN02          ,"FAN, EXHAUST FOR BAG FILTER 562BF02     "
562FN03          ,"FAN, EXHAUST FOR BAG FILTER 562BF03     "
562FN05          ,"FAN, EXHAUST FOR BAG FILTER 562BF05     "
562FN06          ,"FAN, EXHAUST FOR BAG FILTER 562BF06     "
562FN07          ,"FAN, EXHAUST FOR BAG FILTER 562BF07     "
562MW01          ,CONTROL VALVE FOR CHANGEOVER GATE       
562MW02          ,CONTROL VALVE FOR CHANGEOVER GATE       
562MW03          ,CONTROL VALVE FOR CHANGEOVER GATE       
562MW05          ,CONTROL VALVE FOR CHANGEOVER GATE       
562PP01          ,BLOW TANK 1 CLYDE SYSTEM                
562PP02          ,BLOW TANK 2 CLYDE SYSTEM                
562RF01          ,"FEEDER, ROTARY FOR BAG FILTER 562BF01   "
562RF02          ,"FEEDER, ROTARY FOR BAG FILTER 562BF02   "
562RF03          ,"FEEDER, ROTARY FOR BAG FILTER 562BF03   "
562RF05          ,"FEEDER, ROTARY FOR BAG FILTER 562BF05   "
562RF06          ,"FEEDER, ROTARY FOR BAG FILTER 562BF06   "
562RF07          ,"FEEDER, ROTARY FOR BAG FILTER 562BF07   "
570BF01          ,"FILTER, BAG SILO 3-1 (Railway)          "
570BF02          ,"FILTER, BAG SILO 3-1 (Railway)          "
570BF03          ,"FILTER, BAG SILO 3-2 (Pond)             "
570BF04          ,"FILTER, BAG SILO 3-2 (Pond)             "
580,CEMENT MILL 3 RAW FLY ASH GROUP         
580BC02          ,"CONVEYOR, BELT SLAG CEMENT SYSTEM       "
580BC05          ,"CONVEYOR, BELT SLAG CEMENT SYSTEM       "
580BE01          ,"ELEVATOR, BUCKET FLY ASH                "
580BF01          ,"FILTER, BAG FOR FLY ASH                 "
580BF02          ,"FILTER, BAG FOR FLY ASH                 "
580BI05          ,"BIN, STORAGE SLAG CEMENT                "
580BL01          ,"BLOWER, AERATION FOR FLY ASH SILO       "
580CP01          ,"COMPRESSOR, AIR AT FLY ASH SILO         "
580FN01          ,"FAN, EXHAUST FOR BAG FILTER             "
580FN02          ,"FAN, EXHAUST FOR BAG FILTER             "
580FN03          ,"FAN, AIRSLIDE                           "
580FN04          ,"FAN, AIRSLIDE                           "
580FN05          ,"FAN, AIRSLIDE                           "
580FN06          ,"FAN, AIRSLIDE                           "
580PG01          ,"GATE, PNEU FLY ASH BIN DISCHARGE SYS    "
580PG02          ,"GATE, PNEU FLY ASH BIN DISCHARGE SYS    "
580RF01          ,"FEEDER, ROTARY FOR BAG FILTER           "
580RF02          ,"FEEDER, ROTARY FOR BAG FILTER           "
580SG01          ,"GATE, SHUT OFF AFTER BUCKET             "
580SG02          ,"GATE, SHUT OFF AFTER BUCKET             "
580WF05          ,"FEEDER, WEIGHT SLAG CEMENT SYSTEM       "
600LG01          ,LIGHTING PACKING PLANT NO.3             
600TR01          ,"TRAN PP3 DEPT LKH POWER, 2000KVA        "
60C              ,PACKING PLANT 3                         
610,CEMENT SILO EXTRACTION                  
610AE01          ,"AERATION, SYSTEM CEMENT SILO 2-1        "
610AE02          ,"AERATION, SYSTEM CEMENT SILO 2-2        "
610AS01          ,AIR SLIDE                               
610AS02          ,AIR SLIDE                               
610BF01          ,"FILTER, BAG                             "
610BL01          ,"BLOWER, ROOT                            "
610BL02          ,"BLOWER, ROOT FOR SILO INTERNAL AERATION "
610BL03          ,"BLOWER, ROOT                            "
610BL04          ,"BLOWER, ROOT                            "
610FN01          ,"FAN, BLOWER AIRSLIDE                    "
610FN02          ,"FAN, BLOWER AIRSLIDE                    "
610FN03          ,"FAN, EXHAUST                            "
610GA05          ,"GATE, CHANGE OVER                       "
610HP01          ,HOPPER CEMENT                           
610HP02          ,HOPPER CEMENT                           
610PG01          ,"GATE, PNEUMATIC, SHUT OFF               "
610PG02          ,"GATE, PNEUMATIC, SHUT OFF               "
610PG03          ,"GATE, PNEUMATIC, SHUT OFF               "
610PG04          ,"GATE, PNEUMATIC, SHUT OFF               "
610SG01          ,"GATE, FLOW CONTROL CEMENT EXTRACTION    "
610SG02          ,"GATE, FLOW CONTROL CEMENT EXTRACTION    "
610SG03          ,"GATE, FLOW CONTROL CEMENT EXTRACTION    "
610SG04          ,"GATE, FLOW CONTROL CEMENT EXTRACTION    "
620,CEMENT TRANSPORT TO PACKER 630          
620AS01          ,AIR SLIDE                               
620BE01          ,"ELEVATOR, BUCKET                        "
620BI01          ,"BIN, STORAGE CEMENT                     "
620CV01          ,"CONVEYOR, CHAIN                         "
620FN01          ,"FAN, BLOWER, AIRSLIDE                   "
620GA01          ,"GATE, CHANGE OVER                       "
620PG01          ,"GATE, PNEUMATIC, CONTROL                "
620VS01          ,"SCREEN, VIBRATING                       "
621,CEMENT TRANSPORT TO PACKER 631          
621AS01          ,AIR SLIDE                               
621BE01          ,"ELEVATOR, BUCKET                        "
621BE01AX1       ,"GEARBOX, INCHING 621 BUCKET ELEVATOR    "
621BE01GB1       ,GEARBOX FOR 621 BUCKET                  
621BE01MO1       ,"MTR, MAIN DRIVE 621 BUCKET ELEVATOR     "
621BE01MO2       ,"MTR, INCHING BUCKET ELEVATOR,           "
621BI01          ,"BIN, STORAGE CEMENT HOPPER              "
621CV01          ,"CONVEYOR, CHAIN                         "
621FN01          ,FAN. AIRSLIDE                           
621GA01          ,"GATE, DAMPER, CHANGE OVER               "
621VS01          ,"SCREEN, VIBRATING                       "
630,PACKING MACHINE 630 GROUP               
630BC01          ,"CONVEYOR, BELT                          "
630BF01          ,"FILTER, BAG                             "
630BF02          ,"FILTER, BAG ROTARY PACKER               "
630BN01          ,"CLEANER, BAG                            "
630CA01          ,"HOIST, ELECTRIC FOR PAPER BAGS          "
630CA02          ,"HOIST, ELECTRIC FOR P.PLANT3 (TOP)      "
630CA03          ,"HOIST, ELECTRIC FOR PACKING PLANT 3     "
630CP01          ,"COMPRESSOR, AIR FOR ALL PACKING PLANT   "
630CP02          ,"COMPRESSOR, AIR FOR ALL PACKING PLANT   "
630CP03          ,"COMPRESSOR, AIR, UTILITY                "
630DA01          ,DAMPER 630FN01 EXHAUST FAN              
630FN01          ,"FAN, EXHAUST FOR PACKING                "
630PM01          ,"PACKER, ROTARY 630                      "
630RF01          ,"FEEDER, ROTARY                          "
630SC01          ,"CONVEYOR, SCREW                         "
631,PACKING MACHINE 631 GROUP               
631BC01          ,"CONVEYOR, BELT                          "
631BF01          ,"FILTER, BAG                             "
631BF02          ,"FILTER, BAG ROTARY PACKER               "
631BN01          ,"CLEANER, BAG                            "
631DA01          ,DAMPER 631FN01 EXHAUST FAN              
631FN01          ,"FAN, EXHAUST                            "
631PM01          ,"PACKER, ROTARY 631                      "
631RF01          ,"FEEDER, ROTARY                          "
631SC01          ,"CONVEYOR, SCREW                         "
640,BAG TRANSPORT TO MAIN LOAD STATION      
640BC01          ,"CONVEYOR, BELT                          "
640BC02          ,"CONVEYOR, BELT                          "
640BC03          ,"CONVEYOR, BELT                          "
640BC04          ,"CONVEYOR, BELT                          "
640BD01          ,"DEFLECTOR, BAG, NO.1                    "
640BD02          ,"DEFLECTOR, BAG, NO.2                    "
640BD03          ,"DEFLECTOR, BAG, NO.3                    "
640BD04          ,"DEFLECTOR, BAG, NO.4                    "
641BC01          ,"CONVEYOR, BELT                          "
641BC02          ,"CONVEYOR, BELT                          "
641BC03          ,"CONVEYOR, BELT                          "
641BC04          ,"CONVEYOR, BELT                          "
641BD01          ,"DEFLECTOR, BAG, NO.1                    "
641BD02          ,"DEFLECTOR, BAG, NO.2                    "
641BD03          ,"DEFLECTOR, BAG, NO.3                    "
641BD04          ,"DEFLECTOR, BAG, NO.4                    "
645AI01          ,"AIR, CONDITION P/PLANT 3 CONT.ROOM      "
645AI02          ,"AIR, CONDITION ELECTRIC ROOM 6          "
645AI03          ,"AIR, CONDITION SUPERVISOR ROOM          "
645AI04          ,"AIR, CONDITION PP3 CHECKER ROOM         "
645AI05          ,"AIR, CONDITION PP3 PRAYER ROOM          "
645BC01          ,"CONVEYOR, BELT                          "
645BC02          ,"CONVEYOR, BELT                          "
645BC03          ,"CONVEYOR, BELT                          "
645BC04          ,"CONVEYOR, BELT                          "
645LM01          ,"CONVEYOR, BAG LOADING BAY 1             "
645LM02          ,"CONVEYOR, BAG LOADING BAY 2             "
645LM03          ,"CONVEYOR, BAG LOADING BAY 3             "
645LM04          ,"CONVEYOR, BAG LOADING BAY 4             "
650,BULK CEMENT DISPATCH TRUCK              
650AS01          ,AIR SLIDE LORRY BULK LOADING            
650AS02          ,AIR SLIDE LORRY BULK LOADING            
650AS03          ,AIR SLIDE FOR DEDUSTING                 
650AS04          ,AIR SLIDE FOR DEDUSTING                 
650BF01          ,"FILTER, BAG                             "
650BF02          ,"FILTER, BAG                             "
650BK01          ,"LOADING SYSTEM, BULK, LORRY             "
650BK02          ,"LOADING SYSTEM, BULK, LORRY             "
650BK03          ,"LOADING SYSTEM, BULK, LORRY             "
650DA01          ,DAMPER 650FN03 EXHAUST FAN              
650FN01          ,"FAN, TURBO, AIRSLIDE                    "
650FN02          ,"FAN, TURBO, AIRSLIDE                    "
650FN03          ,"FAN, EXHAUST FOR BAG FILTER             "
650FN04          ,"FAN, EXHAUST BAG FILTER                 "
650PG01          ,"GATE, PNEUMATIC, SHUT OFF               "
650PG02          ,"GATE, PNEUMATIC, SHUT OFF               "
650RF01          ,"FEEDER, ROTARY RF FOR BAG FILTER        "
650SG01          ,"GATE, FLOW CONTROL                      "
650SG02          ,"GATE, FLOW CONTROL                      "
660,BULK CEMENT DISPATCH FOR RAIL           
660AS01          ,AIR SLIDE                               
660AS02          ,AIR SLIDE                               
660AS03          ,AIR SLIDE                               
660AS04          ,AIR SLIDE                               
660BE01          ,"ELEVATOR, BUCKET                        "
660BF01          ,"FILTER, BAG                             "
660BF02          ,"FILTER, BAG                             "
660BF03          ,"FILTER, BAG                             "
660BF04          ,"FILTER, BAG FOR X-PUMP UNDER SILO 2-1   "
660BF05          ,"FILTER, BAG FOR X-PUMP - BBC BUILDING   "
660BI01          ,"BIN, STORAGE CEMENT HOPPER              "
660BK01          ,"LOADING SYSTEM, BULK, RAIL              "
660BK02          ,"LOADING SYSTEM, BULK, RAIL              "
660BL01          ,"BLOWER, ROOT RAIL BULK LOADING          "
660BL02          ,"BLOWER, ROOT RAIL BULK LOADING          "
660CP01          ,"COMPRESSOR, AIR PETER PUMP              "
660FN01          ,"FAN, BLOWER, AIRSLIDE                   "
660FN02          ,"FAN, EXHAUST                            "
660FN03          ,"FAN, BLOWER, AIRSLIDE                   "
660FN04          ,"FAN, AIRSLIDE                           "
660FN05          ,"FAN, AIRSLIDE                           "
660FN06          ,"FAN, EXHAUST                            "
660FN07          ,"FAN, EXHAUST                            "
660PG01          ,"GATE, PNEUMATIC, CONTROL                "
660PG02          ,"GATE, PNEUMATIC, CONTROL                "
660PG03          ,"GATE, PNEUMATIC, CONTROL                "
660PP01          ,"PUMP, PNEUMATIC, CEMENT                 "
660SG01          ,"GATE, FLOW CONTROL                      "
660SG02          ,"GATE, FLOW CONTROL                      "
660SG03          ,"GATE, FLOW CONTROL                      "
670,CEMENT STEEL SILO EXTRACTION            
670AS01          ,AIR SLIDE                               
670AS02          ,AIR SLIDE                               
670AS03          ,AIR SLIDE                               
670AS04          ,AIR SLIDE                               
670BL01          ,"BLOWER, ROOT                            "
670BL02          ,"BLOWER, ROOT                            "
670CP01          ,"COMPRESSOR, AIR                         "
670CP02          ,"COMPRESSOR, AIR FOR STEEL SILO 3.1      "
670CP03          ,COMPRESS AIR FOR RAW MATERIAL STEEL SILO
670LS01          ,"CHUTE, PNEUMATIC, CONTROL               "
670LS02          ,"CHUTE, PNEUMATIC, CONTROL               "
670LS03          ,"CHUTE, PNEUMATIC, CONTROL               "
670LS04          ,"CHUTE, PNEUMATIC, CONTROL               "
670SG01          ,"GATE, SHUT OFF                          "
670SG02          ,"GATE, SHUT OFF                          "
670SG03          ,"GATE, SHUT OFF                          "
670SG04          ,"GATE, SHUT OFF                          "
670SI31          ,SILO 3-1 (STEEL)                        
670SI32          ,SILO 3-2 (STEEL)                        
680,PP3 PALLETIZER MACHINE                  
682BC01          ,BELT CONVEYOR                           
682BC02          ,BELT CONVEYOR BAG ROTATING GROUP        
682BD01          ,BAG DEFLECTOR BAG ROTATING GROUP        
682BR01          ,BAG WRAPPING HOODING MACHINE (BOCEDI)   
682CP01          ,PP3 PALLETIZER COMPRESSOR               
682DY01          ,DRYER FOR PP3 PALLETIZER                
682LF01          ,PALLET LIFTER FORKS & OPENABLE PLATES   
682LM01          ,LOADING CONVEYOR TRANSFER BELT          
682LM02          ,LOADING CONVEYOR FORMATION BELT         
682PT01          ,PACING & PRESSING MODULE                
682PX01          ,BAG PUSHER LAYER SHIFTING MODULE        
682RO01          ,TRANSFER ROLLER                         
682RO02          ,TRANSFER RLR FRM LIFTING FRK TO HOOD MCN
683BR01          ,BAG WRAPPING HOODING MACHINE (BEUMER)   
683CP01          ,COMPRESSOR FOR BEUMER WRAPPING MACHINE  
683DY01          ,DRYER FOR BEUMER WRAPPING MACHINE       
A10              ,COAL MILL 2 GROUP                       
A100001          ,COAL MILL 2 TRANSPORT GROUP             
A100002          ,COAL HOT GAS GROUP                      
A10AI01          ,"AIR, CONDITION COAL MILL 2 GAS ANALYSER "
A10AI02          ,"AIR, CONDITION AUXILIRY ROOM            "
A10AN01          ,"ANALYZER, GAS COAL MILL 2 BIN           "
A10AN02          ,"ANALYZER, GAS COAL MILL 2 A10 BF3 CO2/O2"
A10BC02          ,"CONVEYOR, BELT TO COAL MILL 2           "
A10BF01          ,"FILTER, BAG COAL GRINDING               "
A10BF02          ,"FILTER, BAG COAL MILL                   "
A10BF03          ,"FILTER, BAG                             "
A10BF04          ,"FILTER, BAG COAL GRINDING               "
A10BI01          ,"BIN, STORAGE COAL MILL 2 RAW COAL BIN   "
A10BW01          ,"SCALE, BELT                             "
A10CA01          ,"HOIST, ELECTRIC COAL MILL 2             "
A10CA02          ,"HOIST, ELECTRIC COAL MILL 2, TOP        "
A10CN01          ,"CYCLONE, DUST COLLECTOR                 "
A10CN04          ,"CYCLONE, DUST COLLECTOR                 "
A10CP01          ,"COMPRESSOR, AIR, UTILITY                "
A10CV01          ,"CONVEYOR, CHAIN, FEEDER                 "
A10DA01          ,DAMPER                                  
A10DA02          ,DAMPER                                  
A10DA04          ,DAMPER FOR A1BFN2                       
A10FN01          ,"FAN, INDUCED DRAFT COAL MILL 2          "
A10FN02          ,"FAN, WASTE COAL MILL 2                  "
A10FN04          ,"FAN, WASTE COAL MILL 2                  "
A10GA01          ,GATE FOR RAWCOAL FEEDING                
A10LG01          ,LIGHTING COAL MILL NO.2                 
A10RF01          ,"FEEDER, ROTARY, 1 COAL 2 CYCLONE        "
A10RF02          ,"FEEDER, ROTARY, 2 COAL 2 CYCLONE        "
A10RF03          ,"FEEDER, ROTARY, 3 COAL 2 CYCLONE        "
A10RF04          ,"FEEDER, ROTARY, 4 COAL 2 CYCLONE        "
A10RF05          ,"FEEDER,ROTARY, 3.01 DUST PLANT COAL DUST"
A10RF06          ,"FEEDER,ROTARY, 3.02 DUST PLANT COAL DUST"
A10RF07          ,"FEEDER,ROTARY, 3.03 DUST PLANT COAL DUST"
A10RF08          ,"FEEDER,ROTARY, 3.04 DUST PLANT COAL DUST"
A10RL01          ,"MILL, ROLLER COAL MILL 2                "
A10RL01GB1       ,GEARBOX COAL MILL 2                     
A10RL01MO1       ,"MOTOR COAL MILL2, 220KW,990RPM          "
A10RL01OM1       ,"PUMP, OIL COAL MILL 2 GEAR REDUCER, 1.02"
A10RL01OM2       ,"PUMP, OIL COAL MILL 2 GEAR REDUCER, 1.03"
A10SC01          ,"CONVEYOR, SCREW COAL 2 CYCLONE          "
A10SC02          ,"CONV, SCREW, 3.05 DUST PLANT COAL DUST  "
A10SC04          ,"CONVEYOR, SCREW CYCLONE 4 TO BAG FILTER4"
A10SG01          ,"GATE, PNEUMATIC VALVE                   "
A10SG02          ,"GATE, SHUT OFF                          "
A10SG03          ,"GATE, PNEUMATIC VALVE                   "
A10SR01          ,SEPARATOR COAL MILL 2                   
A10TR01          ,"TRAN CL MILL2 TOSHIBA,1000KVA,6.6KV/433V"
A1ELEC0          ,COAL MILL 2 ELECTRICAL GROUP            
A20              ,LINE 2 COMPRESSED AIR                   
A20CP01          ,"COMPRESSOR, AIR LINE 2                  "
A20CP02          ,"COMPRESSOR, AIR LINE 2                  "
A20CP03          ,"COMPRESSOR, AIR LINE 2                  "
A20CP04          ,"COMPRESSOR, AIR LIMESTONE QUARRY        "
A20CP05          ,"COMPRESSOR, AIR LINE 2                  "
A20CP06          ,"COMPRESSOR, AIR LINE 2                  "
A20CP07          ,"COMPRESSOR, AIR LINE 2                  "
A20DY01          ,"DRYER, AIR FOR PLANT 2 AIR              "
A20ELEC          ,COMPRESSED AIR LINE 2 ELECTRICAL GROUP  
A20PV01          ,"TANK, COMPRESSED AIR PRESSURE           "
A20PV02          ,"TANK, COMPRESSED AIR PRESSURE           "
A20PV03          ,"TANK, COMPRESSED AIR PRESSURE           "
A20PV04          ,"TANK, COMPRESSED AIR PRESSURE           "
A20PV05          ,"TANK, COMPRESSED AIR PRESSURE           "
A20PV06          ,"TANK, COMPRESSED AIR PRESSURE           "
A20PV07          ,"TANK, COMPRESSED AIR PRESSURE           "
A20TR01          ,"TRANS RM EXT EKARAT, 1500KVA, 6.6KV/433 "
A30              ,LINE 2 WATER SUPPLY SYSTEM              
A30AI01          ,"AIR, CONDITION WATER PUMP               "
A30EC01          ,"COOLER, EVAPORATION PLANT 2, A30EC01    "
A30FF00          ,LINE 2 FIRE FIGHTING PUMP GROUP         
A30LG01          ,LIGHTING WATER PUMP HOUSE               
A30WP00          ,LINE 2 INDUSTRIAL WATER PUMP GROUP      
A30WP01          ,"PUMP, WATER DEEP TUBE WELL NO 1         "
A30WP02          ,"PUMP, WATER DEEP TUBE WELL NO 4         "
A30WP03          ,"PUMP, WATER, 3                          "
A30WP04          ,"PUMP, WATER, 4                          "
A30WP05          ,"PUMP, WATER, 5                          "
A30WP06          ,"PUMP, WATER, 6                          "
A30WP07          ,"PUMP, WATER, 7                          "
A30WP08          ,"PUMP, WATER, 8                          "
A30WP09          ,"PUMP, WATER, 9                          "
A30WP10          ,"PUMP, WATER, 10                         "
A30WP11          ,"PUMP, WATER, 11                         "
A30WP12          ,"PUMP, WATER, 12                         "
A30WP13          ,"PUMP, WATER, 13                         "
A30WP14          ,"PUMP, WATER, 14                         "
A30WP15          ,"PUMP, WATER, 15                         "
A30WP16          ,"PUMP, WATER, 16                         "
A30WP17          ,"PUMP, WATER, 17                         "
A30WP18          ,"PUMP, WATER, 18                         "
A30WP19          ,"PUMP, WATER, 19                         "
A30WP20          ,"PUMP, WATER, 20                         "
A30WP21          ,"PUMP, WATER, 21                         "
A30WP22          ,"PUMP, WATER, 22                         "
A30WP23          ,"PUMP, WATER, SPRINKLER DUST CONTROL,LN 2"
A30WR00          ,LINE 2 WATER RESERVOIR GROUP            
A30WR01          ,"PUMP, WATER RAW WATER RESERVOIR NO.1    "
A30WR02          ,"PUMP, WATER WATER RESERVOIR NO.2        "
A30WR03          ,"PUMP, WATER WATER RESERVOIR NO.3        "
A30WR04          ,"PUMP, WATER WATER RESERVOIR NO.4        "
A30WR05          ,"PUMP, WATER WATER RESERVOIR NO.5        "
A30WT00          ,LINE 2 WATER TANK GROUP                 
A30WT01          ,"TANK, WATER, 1                          "
A30WT02          ,"TANK, WATER, 2                          "
A31WP01          ,"PUMP, WATER FIRE FIGHTING, E'CAL DRIVE  "
A31WP02          ,"PUMP,WTR FIRE FIGHTING SYS.DIESEL ENGINE"
A31WP03          ,"PUMP, WATER, JOCKEY FIRE FIGHTING SYSTEM"
A31WP04          ,"WP, SPRINKLER, DUTY LINE2 CABLE TUNNEL  "
A31WP05          ,"WP, SPRINKLER, STANDBY L2 CABLE TUNNEL  "
A31WP06          ,"PUMP, WATER, JOCKEY LINE2 CABLE TUNNEL  "
A40              ,PLANT DRINKING WATER SYSTEM             
A40WP01          ,"PUMP, 1 DRINKING WATER SYSTEM           "
A40WP02          ,"PUMP, 2 DRINKING WATER SYSTEM           "
A40WT01          ,"TANK, WATER DRINKING WATER SYSTEM       "
A40WT02          ,"TANK, WATER DRINKING WATER SYSTEM       "
ADMTR01          ,TRANSFORMER ADMIN 2 DEPT                
AUXTR01          ,TRANSFORMER AUX2 DEPT                   
B14              ,PADDY HUSK LINE 2 GROUP                 
B14BC01          ,"CONV, BELT, 1 FROM HOPPER TO VIBRATOR   "
B14BC02          ,"CONV, BELT, 2 FROM VIBRATOR TO BUCKET   "
B14BC03          ,"CONV, BELT, 3 FROM BUCKET TO DD LINE2   "
B14BC04          ,"CONV, BELT PADDY HUSK FEEDING TO DD LN2 "
B14BE01          ,"ELEVATOR, BUCKET PADDY HUSK, LINE 2     "
B14BF01          ,"FILTER, BAG FOR VIBRATOR SCREEN FEED L2 "
B14BF02          ,"FILTER, BAG FOR BUCKET FEED L2          "
B14BF03          ,"FILTER, BAG FOR PADDY HUSK DD LINE2     "
B14BI01          ,"BIN, STORAGE INTER BIN FOR PADDY HUSK L2"
B14BL01          ,"BLOWER PADDY HUSK, FOR DISCHAGE FEED L2 "
B14CP01          ,"COMPRESSOR, AIR FOR BAG FILTER BF1 LINE2"
B14CP02          ,"COMPRESSOR, AIR FOR BAG FILTER BF2 LINE2"
B14CP03          ,"COMPRESSOR, AIR FOR BAG FILTER BF3 LINE2"
B14FN01          ,"FAN, EXHAUST FOR BAG FILTER BF1 LINE2   "
B14FN02          ,"FAN, EXHAUST FOR BAG FILTER BF2 LINE2   "
B14FN03          ,"FAN, EXHAUST FOR BAG FILTER BF3 LINE2   "
B14GA01          ,"GATE, MANUAL BELOW ROTARY FEEDER 3      "
